DeviceId,location_name,Latitude,Longitude,Category,AQI,SO2_MAX,SO2_MIN,OZONE_MAX,OZONE_MIN,NO_MAX,NO_MIN,PM10_MAX,PM10_MIN,PM2_MAX,PM2_MIN,NO2_MAX,NO2_MIN,Light,Humidity,AQI_Pollutant,Status,ON_OFF_STATUS,CO2_MIN,CO2_MAX,TEMPRATURE_MIN,TEMPRATURE_MAX,AIR_PRESSURE,SOUND,CO_MIN,CO_MAX,timezoneoffset,UV_MAX,UV_MIN
2353b250-df9a-4108-8e2c-240955969d7e,Shimla Office Square (Shivaji Nagar Chowk)_33,18.530344,73.84992,nullvalue,0.0001,,,,,,,,,,,,,,,,OFF,,,,,,,,,,330,,
a46a64ca-c27c-631a-ebce-26782e8a20e7,Jhanshi Rani Square_44,18.522622,73.8480461,nullvalue,0.0001,,,,,,,,,,,,,,,,OFF,,,,,,,,,,330,,
98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,Bremen Square_37,18.560589,73.812648,Moderate,142.86,150.779,52.433,26.392,0.314,0,0,35.825,1.00529,9.733,3.462,58.87,26.965,2652.41,85.72,SO2,ON,,,,,,,,,,330,,
8cff12b2-b8be-1230-c5f6-ca96b4e4e441,Ambedkar Society Circle_29,18.5529659,73.879657,nullvalue,0.0001,,,,,,,,,,,,,,,,OFF,,,,,,,,,,330,,
3d3a569a-1a89-c3b6-671c-5675e4132c32,Susgaon_46,18.553421,73.75385,nullvalue,0.0001,,,,,,,,,,,,,,,,OFF,,,,,,,,,,330,,
169af06f-bfee-3513-56e5-b9ddd7b863f0,Appa Balwant Square_30,18.516644,73.854009,Poor,277.72,842.294,172.965,126.025,68.911,0,0,1.61386,1.18787,0,0,86.867,35.47,4111.45,78.77,SO2,ON,,,,,,,,,,330,,
2a072b6c-ec0b-d307-bdc6-86a8b585f5df,Bajaj Statue Square_50,18.501188,73.854234,Poor,0.0001,,,,,,,,,,,,,,,,OFF,,,,,,,,,,330,,
83cdf03d-5787-7052-08aa-143cfbfb807d,Shivaji Nagar Railway Station_34,18.531418,73.850429,Moderate,185.58,412.812,88.138,0,0,0,0,1.46477,0.750045,0,0,69.536,24.509,4199.33,80.56,SO2,ON,,,,,,,,,,330,,
57c0323e-4cf7-2b22-0e54-e9c043d235cb,Power House Square_43,18.5195135,73.8685325,Moderate,165.45,571.808,47.625,0,0,0,0,0.957585,0.626481,0,0,37.325,10.891,421.99,82.96,CO,ON,,,,,,,,,,330,,
17429134-c3d7-da41-0057-388a28723913,Chitale Bandhu Corner_41,18.5137013,73.8525898,nullvalue,0.0001,,,,,,,,,,,,,,,,OFF,,,,,,,,,,330,,
6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,Vadgaon Sheri Square_52,18.5583356,73.9113707,nullvalue,0.0001,,,,,,,,,,,,,,,,OFF,,,,,,,,,,330,,
